,Sha1ID,Malicious,Day count Mean,Day count STD,max Day count,min Day count,Size,DTW k-mean,DTW k-median,DTW k-STD,DTW k-Malicious(%),Euclidean k-mean,Euclidean k-median,Euclidean k-STD,Euclidean k-Malicious(%)
926,4453739,True,0.16666666666666666,0.38924947208076144,1,0,372224,0.0,0.0,0.0,100.0,0.13333333333333333,0.0,0.33993463423951903,100.0
927,4455534,True,0.08333333333333333,0.2886751345948129,1,0,857088,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
928,4461855,True,0.08333333333333333,0.2886751345948129,1,0,8819256,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
929,4463148,True,0.08333333333333333,0.2886751345948129,1,0,679936,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
930,4470134,True,0.5,0.7977240352174656,2,0,276957,1.6666666666666667,2.0,0.4714045207910317,100.0,2.079270876912858,2.23606797749979,0.27682597497712297,100.0
931,4472879,True,0.16666666666666666,0.38924947208076144,1,0,535552,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
932,4477837,True,0.08333333333333333,0.2886751345948129,1,0,37888,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
933,4478275,True,0.16666666666666666,0.3892494720807615,1,0,10570300,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
934,4479730,True,0.08333333333333333,0.2886751345948129,1,0,4312,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
935,4498457,True,0.08333333333333333,0.2886751345948129,1,0,339456,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
936,4499787,True,0.08333333333333333,0.2886751345948129,1,0,799744,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
937,4511256,True,0.25,0.8660254037844386,3,0,799744,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
938,4519133,True,0.08333333333333333,0.2886751345948129,1,0,791544,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
939,4519176,True,0.08333333333333333,0.2886751345948129,1,0,303272,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
940,4525854,True,0.08333333333333333,0.2886751345948129,1,0,1572112,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
941,4548562,True,0.08333333333333333,0.2886751345948129,1,0,75776,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
942,4558842,True,0.08333333333333333,0.2886751345948129,1,0,97792,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
943,4559296,True,0.08333333333333333,0.2886751345948129,1,0,75264,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
944,4562444,True,0.08333333333333333,0.2886751345948129,1,0,75776,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
945,4563500,True,0.08333333333333333,0.2886751345948129,1,0,799744,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
946,4570548,True,0.08333333333333333,0.2886751345948129,1,0,576,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
947,4580904,True,0.08333333333333333,0.2886751345948129,1,0,23060,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
948,4581427,True,0.08333333333333333,0.2886751345948129,1,0,921,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
949,4581709,True,0.08333333333333333,0.2886751345948129,1,0,61440,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
