,k best distances,k is malicius,k's mean,k's median,k's std,k's malicios percentage,k's clean percentage,all's mean,all's median,all's std_i,max dist,min dist
26,"[14.0, 50.0, 258.0]","[False, False, False]",107.33333333333333,50.0,107.54637242707085,0.0,100.0,120206.55963302753,3764.0,793109.0415505301,6253313.0,14.0
27,"[29.0, 115.0, 220.0]","[False, False, False]",121.33333333333333,115.0,78.10391937810945,0.0,100.0,118450.52293577982,4630.0,784080.9735191895,6185092.0,29.0
28,"[225.0, 253.0, 264.0]","[False, False, False]",247.33333333333334,253.0,16.418147141366337,0.0,100.0,131098.88073394494,6227.0,830028.1540009662,6534831.0,225.0
29,"[160.0, 200.0, 226.0]","[False, False, False]",195.33333333333334,200.0,27.145697428669774,0.0,100.0,127880.85321100918,4226.0,823060.8738960942,6480867.0,160.0
30,"[29.0, 109.0, 232.0]","[False, False, False]",123.33333333333333,109.0,83.49184923625113,0.0,100.0,118398.69724770643,4599.0,784081.3049542747,6185040.0,29.0
31,"[1578.0, 1616.0, 1616.0]","[False, False, False]",1603.3333333333333,1616.0,17.913371790059205,0.0,100.0,126639.73394495413,8237.0,806695.9244327197,6359735.0,1578.0
32,"[107.0, 168.0, 180.0]","[False, False, False]",151.66666666666666,168.0,31.961782734314987,0.0,100.0,131877.26605504588,4855.0,837585.9735168874,6591167.0,107.0
33,"[215.0, 232.0, 237.0]","[False, False, False]",228.0,232.0,9.41629792788369,0.0,100.0,131666.57798165138,5031.0,836750.0954819712,6584892.0,215.0
34,"[462.0, 672.0, 914.0]","[False, False, False]",682.6666666666666,672.0,184.68230980674775,0.0,100.0,122916.10091743119,3182.0,806078.4655526215,6351562.0,462.0
35,"[50.0, 59.0, 184.0]","[False, False, False]",97.66666666666667,59.0,61.15735623963991,0.0,100.0,120828.26605504587,3559.0,796431.0850796966,6278533.0,50.0
36,"[399.0, 1351.0, 5035.0]","[False, False, False]",2261.6666666666665,1351.0,1999.184722719628,0.0,100.0,133977.81651376147,22520.0,762599.1405005438,6036369.0,399.0
37,"[998.0, 1926.0, 1996.0]","[False, False, False]",1640.0,1926.0,454.86115097540113,0.0,100.0,124761.50458715597,9451.0,791754.6707346884,6246832.0,998.0
38,"[67.0, 487.0, 536.0]","[False, False, False]",363.3333333333333,487.0,210.49201621175303,0.0,100.0,117694.87155963303,5593.0,776575.5477911596,6128304.0,67.0
39,"[14.0, 59.0, 220.0]","[False, False, False]",97.66666666666667,59.0,88.43202034456876,0.0,100.0,119911.05504587156,4007.0,791455.5799530525,6240824.0,14.0
40,"[739.0, 774.0, 780.0]","[False, False, False]",764.3333333333334,774.0,18.080068829760823,0.0,100.0,126595.1743119266,3381.0,818496.9609305955,6446197.0,739.0
41,"[1098.0, 1100.0, 2338.0]","[False, False, False]",1512.0,1100.0,584.0707719674617,0.0,100.0,120306.61467889909,21814.0,713591.7657550764,5663376.0,1098.0
42,"[10098.0, 66100.0, 68961.0]","[False, False, False]",48386.333333333336,66100.0,27099.122769729813,0.0,100.0,329600.0917431193,278086.0,496990.7179446774,4212289.0,10098.0
43,"[1219.0, 2196.0, 2315.0]","[False, False, False]",1910.0,2196.0,491.02002674704283,0.0,100.0,121915.06422018349,5208.0,793083.1697178727,6255109.0,1219.0
44,"[253.0, 258.0, 264.0]","[False, False, False]",258.3333333333333,258.0,4.4969125210773475,0.0,100.0,128848.61467889909,4464.0,827245.467571004,6512549.0,253.0
45,"[134.0, 152.0, 578.0]","[False, False, False]",288.0,152.0,205.1925924588897,0.0,100.0,125204.32110091743,3108.0,813185.5959623938,6406012.0,134.0
46,"[1351.0, 1784.0, 2192.0]","[False, False, False]",1775.6666666666667,1784.0,343.38737438771517,0.0,100.0,133656.47706422018,19967.0,779353.6517313338,6161523.0,1351.0
47,"[2338.0, 3210.0, 3919.0]","[False, False, False]",3155.6666666666665,3210.0,646.58298427623,0.0,100.0,116711.2752293578,17727.0,709747.8277243596,5633097.0,2338.0
48,"[1751.0, 1922.0, 2301.0]","[False, False, False]",1991.3333333333333,1922.0,229.82650461211438,0.0,100.0,115465.02752293578,12199.0,733564.1145071067,5806843.0,1751.0
49,"[12.0, 166.0, 213.0]","[False, False, False]",130.33333333333334,166.0,85.84611555309625,0.0,100.0,117751.67889908257,4985.0,779332.8129010564,6149969.0,12.0
50,"[109.0, 115.0, 184.0]","[False, False, False]",136.0,115.0,34.02939905434711,0.0,100.0,119672.81651376147,3824.0,791492.471530484,6241208.0,109.0
