,Sha1ID,MoreThan100,Malicious,day_Array,hour_Array,mean,std
94,16119035,True,False,[11 38 13  8  7 23 18  3 15  5  1  0],,11.833333333333334,10.785793124908958
95,16171977,True,False,[ 1 21 19  9 22 14  2  2  7  3  2  0],,8.5,8.350285787161583
96,16199647,True,False,[ 67 169  71  29  98 110 200 199  61  47  42   0],,91.08333333333333,66.31667599594778
97,16267203,True,False,[21 20  2  0 13  7 34 23 16 18  9  0],,13.583333333333334,10.422513510607116
98,16824298,True,False,[11 23 27 10 19 35 21 39 82 52 36  0],,29.583333333333332,21.84431830990023
99,17021703,True,False,[68 33 18  1 26 29 60 60 41 40 17  0],,32.75,22.267485468523585
100,17038132,True,False,[24 13 10  4  0 18 18 50 34  5  4  0],,15.0,15.093647068160227
101,17087098,True,False,[ 30  20   7   2   7   5  24  23   9 113  71   0],,25.916666666666668,33.52464041793014
102,17247477,True,False,[154  46  24   6   5  35 192 177 101  78  23   0],,70.08333333333333,69.9096278105245
103,17844620,True,False,[19 14  6  3  1  5 28 11 11 10 10  0],,9.833333333333334,7.941070838407504
104,18152140,True,False,[ 73  23  11   5   1  21  74  58  59 323 160   0],,67.33333333333333,92.58444139205457
105,18363249,True,False,[   0    0    0    0   12   20   47   61   77  842 2455    0],,292.8333333333333,721.0708997208543
106,18602318,True,False,[ 0  0  0  0  0  0  1  0  1 50 71  0],,10.25,23.89798393931246
107,18630913,True,False,[ 0  5  2  0 45 33 14  7  4  1  1  0],,9.333333333333334,14.64943891779001
108,18876611,True,False,[  0   0   0   0   0   1  12   7   4 188  83   0],,24.583333333333332,56.56124328923686
