,Sha1ID,Malicious,Day count Mean,Day count STD,Max Day count,Min Day count,Size,WebFileUrlDomain,DTW k-mean,DTW k-median,DTW k-STD,DTW k-Malicious(%),Euclidean k-mean,Euclidean k-median,Euclidean k-STD,Euclidean k-Malicious(%)
54,256967,True,0.08333333333333333,0.2886751345948129,1.0,0.0,1863298,datacloudmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
55,258758,True,0.08333333333333333,0.2886751345948129,1.0,0.0,15352,ymail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
56,259001,True,0.08333333333333333,0.2886751345948129,1.0,0.0,820224,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
57,265519,True,0.08333333333333333,0.2886751345948129,1.0,0.0,33733,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
58,268584,True,0.08333333333333333,0.2886751345948129,1.0,0.0,783360,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
59,270554,True,0.08333333333333333,0.2886751345948129,1.0,0.0,783360,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
60,281357,True,0.08333333333333333,0.2886751345948129,1.0,0.0,2796291,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
61,282386,True,0.08333333333333333,0.2886751345948129,1.0,0.0,2022446,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
62,284025,True,0.08333333333333333,0.2886751345948129,1.0,0.0,886,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
63,284553,True,0.08333333333333333,0.2886751345948129,1.0,0.0,791536,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
64,285444,True,0.08333333333333333,0.2886751345948129,1.0,0.0,79872,interia.pl,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
65,304639,True,0.08333333333333333,0.2886751345948129,1.0,0.0,22387,webmail.co.za,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
66,321528,True,0.3333333333333333,0.6513389472789296,2.0,0.0,230912,ymail.com,0.8,1.0,0.4,100.0,0.8666666666666667,1.0,0.3399346342395189,100.0
67,323122,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
68,324943,True,0.25,0.621581560508061,2.0,0.0,328704,ymail.com,0.26666666666666666,0.0,0.44221663871405337,100.0,0.7333333333333333,1.0,0.4422166387140533,100.0
69,335998,True,0.16666666666666666,0.5773502691896257,2.0,0.0,799744,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
70,344892,True,0.08333333333333333,0.2886751345948129,1.0,0.0,365,iol.pt,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
71,350642,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
72,352197,True,0.16666666666666666,0.38924947208076144,1.0,0.0,642560,gmx.net,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
73,355140,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
74,358603,True,0.16666666666666666,0.38924947208076144,1.0,0.0,662016,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
75,366905,True,0.08333333333333333,0.2886751345948129,1.0,0.0,25549,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
76,368504,True,0.16666666666666666,0.3892494720807615,1.0,0.0,82944,tiscali.it,0.0,0.0,0.0,100.0,0.26666666666666666,0.0,0.44221663871405337,100.0
77,394015,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
78,397443,True,0.25,0.621581560508061,2.0,0.0,3338752,cldmail.ru,0.2,0.0,0.4,100.0,0.4,0.0,0.4898979485566356,100.0
79,401003,True,0.08333333333333333,0.2886751345948129,1.0,0.0,8164,juno.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
80,406121,True,0.08333333333333333,0.2886751345948129,1.0,0.0,783360,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
81,412719,True,0.08333333333333333,0.2886751345948129,1.0,0.0,820224,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
82,415978,True,0.25,0.4522670168666454,1.0,0.0,7153786,cldmail.ru,0.0,0.0,0.0,100.0,0.8,1.0,0.4,100.0
83,432147,True,0.08333333333333333,0.2886751345948129,1.0,0.0,75264,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
84,435606,True,0.16666666666666666,0.3892494720807615,1.0,0.0,783352,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
85,445491,True,0.08333333333333333,0.2886751345948129,1.0,0.0,124062,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
86,451388,True,0.08333333333333333,0.2886751345948129,1.0,0.0,799744,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
