,Sha1ID,MoreThan10,Malicious,Day_Array,Hour_Array,Mean,Std,Size,WebFileUrlDomain
66,1055740,TRUE,FALSE,[ 0  0  0  0  0  0  0  0  0  9 10  0],,1.583333333,3.70401093,3812664,live.com
67,1060750,TRUE,FALSE,[1 1 0 2 1 1 1 1 1 1 0 0],,0.833333333,0.577350269,28979,comcast.net
68,1074761,TRUE,FALSE,[2 5 0 0 3 0 1 4 4 2 0 0],,1.75,1.864744682,77045,cldmail.ru
69,1088049,TRUE,FALSE,[3 2 0 0 0 0 3 2 4 0 0 0],,1.166666667,1.527525232,48457,yandex.ru
70,1090180,TRUE,FALSE,[0 3 5 1 0 0 1 1 0 1 0 0],,1,1.53741223,1617,qq.com
71,1096284,TRUE,FALSE,[1 2 1 1 3 1 1 0 1 0 1 0],,1,0.852802865,45,email.cz
72,1105167,TRUE,FALSE,[7 2 1 1 0 0 2 4 1 0 0 0],,1.5,2.110579412,1876704,cldmail.ru
73,1111552,TRUE,FALSE,[0 2 2 0 0 1 2 5 3 1 0 0],,1.333333333,1.556997888,479744,zoho.com
74,1113012,TRUE,FALSE,[ 0  1  0  0  0  0  1  0  0  1 10  0],,1.083333333,2.843120352,3989,aid4mail.com
75,1116465,TRUE,FALSE,[1 2 0 0 1 1 6 5 0 2 0 0],,1.5,2.022599587,174659,yandex.ru
76,1135056,TRUE,FALSE,[2 2 2 0 0 1 4 3 1 2 1 0],,1.5,1.243163121,1731072,qq.com
77,1138659,TRUE,FALSE,[1 1 1 2 1 1 0 0 2 1 1 0],,0.916666667,0.668557923,44,gmx.net
78,1140981,TRUE,FALSE,[ 0 13  0  0  0  0  0  0  0  0  0  0],,1.083333333,3.75277675,329013,yandex.ru
79,1142990,TRUE,FALSE,[ 0  0  0  0  0  0  1  2  0 19  6  0],,2.333333333,5.532274451,3812664,live.com
80,1170056,TRUE,FALSE,[6 8 1 1 2 0 0 0 0 0 0 0],,1.5,2.67989145,42366,cldmail.ru
81,1171486,TRUE,FALSE,[17 14  0  0  1  1  4  1  2  0  0  0],,3.333333333,5.836146508,114342,incredimail.com
82,1180454,TRUE,FALSE,[7 3 3 1 1 0 1 5 4 1 4 0],,2.5,2.195035721,3690272,incredimail.com
83,1186357,TRUE,FALSE,[ 6 13  0  1  5  2 14  7 14  9  2  0],,6.083333333,5.367551216,19821,yandex.ru
84,1217552,TRUE,FALSE,[3 5 1 0 4 3 6 8 1 2 0 0],,2.75,2.598076211,41577,yandex.ru
85,1221121,TRUE,FALSE,[ 0  0  0  0  0  0  1  1  0  7 27  0],,3,7.816067367,5542696,live.com
86,1221619,TRUE,FALSE,[3 1 0 0 0 0 1 4 1 1 0 0],,0.916666667,1.311372171,752894,cldmail.ru
87,1242953,TRUE,FALSE,[2 1 1 0 1 0 1 4 2 2 0 0],,1.166666667,1.193416283,8544,cldmail.ru
88,1244648,TRUE,FALSE,[0 0 0 1 3 1 2 3 2 0 0 0],,1,1.206045378,1865027,cldmail.ru
89,1275919,TRUE,FALSE,[3 0 0 0 0 1 4 4 0 0 1 0],,1.083333333,1.621353718,103612,yandex.ru
90,1320453,TRUE,FALSE,[1 1 1 1 2 0 1 0 0 0 0 0],,0.583333333,0.668557923,513,ymail.com
91,1371900,TRUE,FALSE,[3 0 2 0 0 0 0 6 1 0 0 0],,1,1.858640755,511488,cldmail.ru
92,1382710,TRUE,FALSE,[0 1 0 0 7 1 2 2 2 3 0 0],,1.5,2.022599587,4115456,cldmail.ru
93,1397068,TRUE,FALSE,[2 1 0 0 0 2 3 1 4 2 0 0],,1.25,1.356801051,563478,centrum.cz
94,1403950,TRUE,FALSE,[0 0 1 0 1 1 1 0 1 0 0 0],,0.416666667,0.514928651,59,ymail.com
