,K best distances,K is malicius,K's mean,K's median,K's std,K's malicios percentage,K's clean percentage,All's mean,All's median,All's std_i,Max dist,Min dist
4529,"[50.0, 60.0, 72.0, 72.0, 77.0, 79.0, 81.0, 84.0, 85.0, 86.0, 89.0, 95.0, 96.0, 97.0, 99.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",81.46666666666667,84.0,13.405803055227821,0.0,100.0,4747.768518518518,855.0,148579.2522720797,6617887.0,50.0
4530,"[16.0, 22.0, 25.0, 28.0, 30.0, 32.0, 33.0, 34.0, 34.0, 35.0, 36.0, 36.0, 36.0, 37.0, 38.0]","[True, False, False, False, False, False, False, False, False, False, True, False, False, False, False]",31.466666666666665,34.0,6.042810236599819,13.333333333333334,86.66666666666667,4431.2289204097715,406.0,149790.97202397254,6672094.0,16.0
4531,"[2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[False, False, True, True, False, False, False, True, True, True, True, True, False, False, False]",3.4,4.0,0.7118052168020874,46.666666666666664,53.333333333333336,4220.047675334909,10.0,151022.2850803554,6727385.0,2.0
4532,"[10.0, 10.0, 11.0, 24.0, 28.0, 31.0, 54.0, 56.0, 114.0, 126.0, 144.0, 144.0, 164.0, 169.0, 176.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",84.06666666666666,56.0,62.96185794237298,0.0,100.0,5881.587667454689,2283.0,144559.76612043992,6438125.0,10.0
4533,"[109.0, 115.0, 184.0, 188.0, 258.0, 272.0, 282.0, 379.0, 399.0, 409.0, 449.0, 540.0, 552.0, 567.0, 581.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",352.26666666666665,379.0,159.18101506007415,0.0,100.0,9325.189913317572,6104.0,140085.45362509586,6241208.0,109.0
4534,"[1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]","[False, True, True, False, False, False, False, False, False, False, False, False, False, False, True]",2.0,2.0,0.3651483716701107,20.0,80.0,4218.779353821907,10.0,151022.17268012988,6727385.0,1.0
4535,"[10.0, 11.0, 14.0, 15.0, 18.0, 18.0, 18.0, 19.0, 20.0, 20.0, 20.0, 20.0, 20.0, 21.0, 21.0]","[False, False, False, False, False, False, False, False, True, False, False, False, False, False, False]",17.666666666666668,19.0,3.4189017079888226,6.666666666666667,93.33333333333333,4290.921985815603,204.0,150099.633841247,6685882.0,10.0
4536,"[5.0, 5.0, 6.0, 7.0, 8.0, 8.0, 10.0, 11.0, 11.0, 11.0, 12.0, 12.0, 12.0, 12.0, 12.0]","[False, False, False, False, False, False, False, True, False, False, True, False, False, False, False]",9.466666666666667,11.0,2.6042699979499475,13.333333333333334,86.66666666666667,4209.54353821907,55.0,150559.11431846427,6706523.0,5.0
4537,"[4763.0, 12208.0, 15308.0, 17303.0, 19102.0, 20712.0, 21553.0, 25297.0, 29025.0, 29244.0, 29598.0, 34410.0, 35258.0, 37971.0, 39308.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",24737.333333333332,25297.0,9704.132107280668,0.0,100.0,123007.82702915682,123608.0,108744.26733508807,4921679.0,4763.0
4538,"[3.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 7.0]","[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",5.4,6.0,1.2543258481484518,13.333333333333334,86.66666666666667,4188.91804570528,45.0,150406.36038009438,6699552.0,3.0
4539,"[3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[False, False, False, False, False, False, False, False, False, True, False, False, False, False, False]",4.333333333333333,4.0,0.5962847939999438,6.666666666666667,93.33333333333333,4223.009062253743,41.0,150867.17744947976,6720438.0,3.0
4540,"[2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[False, True, True, True, False, True, True, False, False, True, True, True, True, True, True]",4.0,4.0,0.9660917830792959,73.33333333333333,26.666666666666668,4209.614066193853,28.0,150714.55840615544,6713446.0,2.0
4541,"[1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[False, True, True, True, True, False, False, False, False, False, False, False, False, False, False]",1.9333333333333333,2.0,0.24944382578492946,26.666666666666668,73.33333333333333,4218.693262411348,8.0,151022.33202706516,6727384.0,1.0
4542,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",0.6666666666666666,1.0,0.4714045207910317,0.0,100.0,4212.2243892829,144.0,149489.73084561166,6658211.0,0.0
4543,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",0.0,0.0,0.0,100.0,0.0,4249.53073286052,2.0,151331.43617268786,6741373.0,0.0
4544,"[9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 11.0, 11.0, 11.0, 11.0, 12.0, 12.0, 12.0, 12.0]","[False, False, True, False, False, False, False, True, False, False, False, True, False, False, False]",10.666666666666666,11.0,1.0110500592068734,20.0,80.0,4228.4832545311265,81.0,150559.78768442883,6706562.0,9.0
4545,"[0.0, 0.0, 2.0, 4.0, 5.0, 5.0, 5.0, 6.0, 6.0, 8.0, 8.0, 11.0, 12.0, 13.0, 14.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",6.6,6.0,4.255192905928786,0.0,100.0,4242.925334909378,205.0,149186.1106494758,6644563.0,0.0
4546,"[145.0, 164.0, 166.0, 169.0, 172.0, 181.0, 193.0, 197.0, 202.0, 237.0, 243.0, 245.0, 248.0, 257.0, 260.0]","[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]",205.26666666666668,197.0,37.96922730609911,6.666666666666667,93.33333333333333,5432.841213553979,1617.0,148285.85323177304,6605356.0,145.0
4547,"[30.0, 31.0, 37.0, 39.0, 44.0, 47.0, 48.0, 48.0, 48.0, 49.0, 52.0, 56.0, 57.0, 62.0, 68.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",47.733333333333334,48.0,10.292176100751915,0.0,100.0,4442.944247438928,479.0,148880.69898553748,6631173.0,30.0
4548,"[4.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]","[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",6.133333333333334,6.0,0.8844332774281067,13.333333333333334,86.66666666666667,4213.07427107959,65.0,150559.29684909421,6706533.0,4.0
4549,"[13.0, 16.0, 16.0, 18.0, 18.0, 19.0, 19.0, 21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 23.0, 24.0]","[True, False, False, False, False, False, False, False, False, False, False, True, False, True, True]",19.6,21.0,2.8936712552280937,26.666666666666668,73.33333333333333,4231.504728132388,179.0,149488.5749995542,6658280.0,13.0
4550,"[15.0, 30.0, 30.0, 32.0, 32.0, 35.0, 35.0, 36.0, 36.0, 36.0, 38.0, 39.0, 40.0, 40.0, 41.0]","[False, True, False, True, False, False, False, True, False, False, False, False, False, False, True]",34.333333333333336,36.0,6.193186219996583,26.666666666666668,73.33333333333333,4394.3059495665875,374.0,149640.4617827384,6665259.0,15.0
4551,"[11.0, 12.0, 13.0, 14.0, 14.0, 15.0, 16.0, 16.0, 16.0, 16.0, 17.0, 17.0, 17.0, 18.0, 18.0]","[True, False, False, False, False, False, False, False, False, False, True, False, False, True, False]",15.333333333333334,16.0,2.0548046676563256,20.0,80.0,4218.605594956659,77.0,150407.03018812355,6699600.0,11.0
4552,"[11.0, 17.0, 17.0, 18.0, 18.0, 19.0, 19.0, 20.0, 20.0, 21.0, 21.0, 21.0, 22.0, 23.0, 23.0]","[False, False, False, False, False, False, False, True, False, False, False, False, False, False, False]",19.333333333333332,20.0,2.9135697844549546,6.666666666666667,93.33333333333333,4265.048266351458,199.0,149794.39898285185,6672060.0,11.0
4553,"[3.0, 5.0, 5.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0]","[False, True, False, False, True, False, False, False, False, False, False, False, False, False, False]",6.666666666666667,7.0,1.349897115421106,13.333333333333334,86.66666666666667,4217.157013396375,68.0,150559.61948757924,6706531.0,3.0
4554,"[14.0, 14.0, 15.0, 15.0, 16.0, 16.0, 16.0, 17.0, 17.0, 18.0, 18.0, 20.0, 20.0, 20.0, 20.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",17.066666666666666,17.0,2.1123972690339814,0.0,100.0,4225.266351457841,126.0,150099.41268272622,6685790.0,14.0
4555,"[1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0]","[False, True, False, True, True, False, False, False, False, False, False, False, False, True, True]",2.8666666666666667,3.0,0.7180219742846006,33.333333333333336,66.66666666666667,4221.167848699763,18.0,151021.4815427038,6727388.0,1.0
4556,"[2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0]","[False, False, False, False, True, True, True, False, False, False, False, False, False, False, False]",3.8,4.0,0.7483314773547882,20.0,80.0,4199.881599684792,22.0,150714.01737192762,6713439.0,2.0
4557,"[18.0, 18.0, 19.0, 20.0, 20.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]","[False, False, False, False, False, False, False, False, True, False, False, False, False, False, False]",20.8,21.0,1.4236104336041748,6.666666666666667,93.33333333333333,4232.862096138692,77.0,150559.84862441392,6706560.0,18.0
4558,"[138.0, 140.0, 142.0, 146.0, 148.0, 150.0, 151.0, 159.0, 163.0, 164.0, 168.0, 168.0, 171.0, 172.0, 173.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",156.86666666666667,159.0,12.027006647079268,0.0,100.0,5344.980299448384,1632.0,146632.45650886666,6530729.0,138.0
4559,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",1.1333333333333333,1.0,1.2036980056845192,6.666666666666667,93.33333333333333,4237.384357762017,196.0,149185.99903657846,6644547.0,0.0
4560,"[0.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",2.7333333333333334,3.0,0.7717224601860151,6.666666666666667,93.33333333333333,4206.186170212766,15.0,150867.8895654174,6720403.0,0.0
