,Sha1ID,MoreThan10,Malicious,Day_Array,Hour_Array,Mean,Std,Size,WebFileUrlDomain
150,788206,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,1839682,datacloudmail.ru
151,795173,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,5014,tiscali.it
152,798936,False,True,[0 0 1 0 0 0 0 1 0 0 0 0],,0.16666666666666666,0.38924947208076144,9776203,qq.com
153,800657,False,True,[1 0 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,796089,ymail.com
154,806061,True,True,[0 0 0 0 0 0 0 0 2 1 1 0],,0.3333333333333333,0.6513389472789296,526336,aol.com
155,810137,False,True,[1 0 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,568887,yahoomail.jp
156,814251,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,816128,yandex.ru
157,815824,False,True,[1 0 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,22078,uol.com.br
158,824076,False,True,[0 0 0 0 0 1 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,64000,qq.com
159,832575,False,True,[0 0 0 0 0 0 1 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,11776,attachmail.ru
160,832587,False,True,[0 0 0 1 1 1 1 0 1 2 2 0],,0.75,0.7537783614444091,15565,qq.com
161,833673,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,5726736,qq.com
162,838708,False,True,[0 0 1 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,799744,yandex.ru
163,839723,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088,yandex.ru
164,841031,False,True,[1 0 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,87552,interia.pl
165,844749,False,True,[0 0 0 0 0 2 0 0 0 0 0 0],,0.16666666666666666,0.5773502691896257,918528,cldmail.ru
166,844930,False,True,[0 0 0 0 0 0 1 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,33733,aol.com
167,852987,False,True,[1 0 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,278528,cldmail.ru
168,858553,False,True,[0 1 1 0 0 0 0 0 1 0 0 0],,0.25,0.45226701686664544,112640,yandex.ru
169,859822,False,True,[0 1 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,206366,datacloudmail.ru
170,862954,False,True,[0 0 0 0 0 0 0 0 0 0 1 0],,0.08333333333333333,0.28867513459481287,42496,interia.pl
171,867817,False,True,[0 0 0 0 0 0 0 0 0 1 0 0],,0.08333333333333333,0.28867513459481287,111275,qq.com
172,872168,False,True,[0 0 1 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,79872,interia.pl
173,875426,False,True,[0 0 0 0 0 0 0 0 0 4 0 0],,0.3333333333333333,1.1547005383792515,332054,yandex.ru
174,883157,False,True,[0 0 0 0 0 0 0 0 0 0 1 0],,0.08333333333333333,0.28867513459481287,2233,attachmail.ru
175,887244,False,True,[0 0 0 0 0 0 1 0 0 1 0 0],,0.16666666666666666,0.3892494720807615,679424,ymail.com
176,889304,False,True,[0 0 0 0 0 0 1 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,14748,mail.de
177,905159,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,2441872,vnn.vn
178,912697,False,True,[1 2 1 1 0 0 1 0 0 1 0 0],,0.5833333333333334,0.6685579234215214,2396,uol.com.br
179,924229,False,True,[0 0 0 0 0 0 0 0 1 0 0 0],,0.08333333333333333,0.28867513459481287,766968,yandex.ru
